RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31
102001,0,United States,country,,1296.5976833245152,1302.1226624617495,1307.4408302124182,1312.9707108142934,1317.281224951541,1322.1044677141526,1327.638211806845,1333.8400549455234,1339.3127277669398,1344.7524531597282,1349.9411093290735,1355.7024038913048,1359.9667065776478,1363.6166912272924,1365.8272872384543,1370.8733830014337,1375.7496975074137,1381.016134356812,1383.8887623933579,1387.296597181294,1390.4368068307708,1393.7530267798093,1396.5413276868749,1399.418114174267,1406.1349343583784,1413.6279102729466,1422.244888151028,1427.2588366007935,1432.3033919365985,1437.0709022684264,1442.3896321819864,1447.2732493844153,1453.5067010488938,1458.7452183443513,1464.7256750308572,1469.9304173339094,1475.2554623774208,1480.2220419950404,1485.5991923262652,1490.9918028054215,1496.1098282229618,1501.2805569231039,1507.019478519971,1512.931963411096,1518.2178237092114,1524.182025417351,1530.703663505375,1537.8668666273434,1543.0889651800328,1548.0228865438703,1552.5902195795732,1558.4288534824634,1564.6231034501354,1570.8714433374657,1576.9269497889777,1582.965006833391,1588.9067338958741,1594.801249119239,1600.0252324932744,1605.155890491459,1611.0167341224717,1617.2022212703532,1623.5019698832389,1625.4083045699176,1628.2215607351895,1633.6103350337012,1645.2350410313077,1657.1513435481234,1670.8927709049872,1684.2832449165105,1698.8100385219523,1711.359827245803,1724.7114649971354,1737.3757029014414,1752.2986950738205,1770.3777312454056,1791.4818563122913,1813.9002380491092,1834.214318509601,1856.1854676402795,1877.1830948707156,1896.8117525892055,1915.8519835341697,1933.9619587570364,1952.8791992054937,1971.5661629210736,1989.7313194245135,2007.2514507952928,2023.454739736921,2039.1949573733627,2052.5912152162527,2063.1220947996685,2071.2126462273345,2080.899085660926,2091.051787727578,2102.775585964473,2112.8765997455466,2122.946542989745,2131.988404772765,2140.16805923024,2146.8853220742626,2152.035886638341,2158.1031207633587,2164.7876616772737,2172.7378023315146,2179.440994842637
394913,1,"New York, NY",msa,NY,2178.3076444998637,2194.2597091224175,2204.041872067932,2212.8926080306187,2210.1455542675003,2219.4831903316476,2226.2467259259256,2236.6470668337747,2239.769560315374,2242.083126909514,2251.0858227040594,2264.127917658221,2278.1883529226284,2282.284340807481,2285.196300610545,2292.982785073802,2303.510388578976,2305.1439830086665,2308.713839352325,2311.8992372129314,2309.519570173571,2319.0606526397396,2331.5112921991204,2341.3027631216955,2352.1579954041067,2357.698400895839,2369.715945192283,2369.712837778586,2375.3604135209343,2380.6286988542765,2390.4556010000474,2392.6050883283783,2426.774819729206,2438.0138955981083,2443.5054232219195,2426.433001569241,2425.5593118126994,2431.611493766553,2429.5676156114946,2434.830717989254,2443.206009857414,2453.7913035345364,2462.4435963782653,2480.665473743995,2490.049800457532,2487.3104395786445,2489.1579965689125,2492.5846433432494,2502.8793296074386,2515.4104228429537,2526.985629735752,2537.984510517034,2543.6712653230375,2549.4759827483936,2554.510133846912,2556.3363483121343,2551.0174331091066,2564.38497553178,2576.628812297069,2599.5139329617855,2609.1207153308924,2615.1083813287355,2609.9862356572385,2613.015131035843,2631.379358694379,2638.196044471541,2655.684305628211,2666.1163235791105,2693.776705807138,2692.8761157722433,2728.422521704619,2734.1281152757747,2774.4548857386126,2777.9676837310126,2807.526985518607,2826.2796253517704,2844.3260062975387,2864.0595460267173,2878.997121986664,2903.772617901969,2915.7316385646677,2946.4958001034734,2958.685919935344,2997.7431750503624,3034.950304785918,3081.7668450736032,3089.684148788139,3098.7337479034777,3107.5900613235335,3131.828470142057,3162.477694235952,3188.758512524622,3213.101634337391,3230.950905177096,3246.2956541583644,3252.4201357198717,3248.3781683380507,3255.430138679686,3279.596889709893,3308.041069210335,3333.1201025657497,3346.749620807419,3354.5310077317126,3361.4307315008296,3371.989539323897,3382.6032206159907
753899,2,"Los Angeles, CA",msa,CA,2643.6612061276383,2655.981009826886,2667.6328544645944,2673.9370176472,2679.868150212622,2691.973005282701,2709.8260905863526,2726.6840704041406,2743.6134449128626,2758.6688646077905,2768.5967876140444,2785.4088202855282,2797.417285812303,2812.9163487310493,2822.558976271174,2831.602085097604,2842.8557736613166,2853.0402407040096,2862.572812957529,2871.469077180843,2879.573851338893,2887.7660364978847,2892.4688157700352,2896.9337494867386,2916.5919641459272,2934.7915279309104,2957.619528380745,2972.9311868678888,2986.4203982882536,2997.4780395048697,3005.855933681619,3016.541571846892,3030.104596661659,3040.592159897356,3055.1738380495017,3063.573500332795,3072.552830592676,3083.5554205907038,3093.5773521181977,3110.036144473858,3115.902075016549,3128.8164564424283,3140.3271152623743,3153.70847635769,3165.976520710281,3179.901958123097,3199.44852229306,3214.0131962795904,3223.7008969884487,3225.523224322557,3232.607095015011,3238.7990080001814,3253.709994148178,3264.392777353547,3277.3455000930303,3287.735901405736,3297.4475016975766,3307.2868467253793,3311.441157131105,3322.3837531942027,3333.6833166591578,3350.312374150256,3339.10224853789,3329.5436266729425,3324.8108416620753,3335.137301268802,3362.963084693322,3380.9717536795843,3402.0243143167836,3419.8094312611024,3444.534801907339,3464.9586572731005,3483.560187845472,3504.8819511564698,3531.7357238878603,3562.120848443533,3589.936329159337,3621.426450632236,3645.11252389259,3692.523796700831,3738.3490623295907,3781.8231603059703,3814.313014366831,3852.0523331628,3896.519924423053,3936.66073947948,3973.9920136509345,4006.6732180955487,4046.5526800601165,4071.388357771233,4094.830147671535,4098.387236915195,4110.799740412924,4130.648544014866,4148.9027373417175,4164.012393034985,4174.858988179281,4187.253757740644,4201.7124131393375,4218.46995986151,4228.371682949497,4243.9149136279875,4259.5112329407175,4279.10823598629,4290.8325916476715,4297.695993980303
394463,3,"Chicago, IL",msa,IL,1535.7691496769003,1538.1326860016793,1541.7052664886985,1547.8146670553504,1553.762841224636,1556.7165918384458,1559.710660162144,1560.3194015291706,1562.1007672704764,1564.710038790971,1573.8989662794127,1584.8683670504972,1587.975526803881,1589.2972294186823,1589.8508285979933,1592.7795582339859,1593.6655108757973,1594.7128691456626,1598.0678349176576,1608.2261080377405,1611.5794037043981,1615.815160422661,1609.104658685209,1604.5778932385088,1609.5450676173352,1617.0950674344294,1627.2904328545887,1631.2084112453258,1637.219799168714,1640.4590656843031,1643.2821403913604,1642.2212737456318,1645.495102533537,1645.419581587216,1650.496710051176,1655.5210339900068,1659.4963252645139,1663.8560450197083,1665.4749540257612,1671.7668878922657,1673.6637314733416,1676.477110317305,1679.273234686265,1683.3007560829794,1687.5709091392964,1691.9470499705892,1696.3438168408863,1700.9726312958576,1705.5727109650443,1707.6589786255684,1710.227406347226,1711.7784873021938,1716.2578061086951,1721.5238478252031,1726.6691646540112,1731.4815870570617,1735.3577358440054,1740.5886699523282,1745.3400828152537,1749.558098426296,1752.6844664596347,1757.2309196959952,1760.129377154489,1760.5752526711965,1760.4089252080773,1760.5938093107923,1767.333028406138,1775.4466227303628,1778.2001857245714,1782.9232671152063,1790.7877097891035,1804.2182845860143,1820.912761577854,1834.2723172885644,1840.1403387656383,1850.0493510097106,1861.4792160916681,1883.427678552235,1898.133425452056,1911.785283299961,1929.9766939724216,1948.0828333774623,1968.5750029126298,1981.2691385347198,1992.6669873896678,2001.7371458211385,2017.6036047810512,2034.8378570313155,2055.361110301685,2065.9309477451925,2080.5591316468863,2091.7493871578895,2097.9398981801683,2109.5097433284473,2116.701372695287,2128.696153766526,2139.9669199853715,2154.7430501775793,2167.470987027096,2178.538808974349,2186.247545330463,2196.2501799499114,2205.5518872645525,2217.9662882546777,2233.1958541377744,2243.8618659356825
394514,4,"Dallas, TX",msa,TX,1396.695661331962,1402.8592914225378,1408.2776684693722,1415.684188618786,1422.1818903388091,1428.8258873047523,1436.1553282270854,1441.9782865800873,1447.8671411006064,1453.8965494172267,1461.8773221999118,1468.8040063321873,1473.3013235155202,1478.1914231304552,1483.4457766364128,1489.7344022657146,1493.7227225217196,1498.6624410120194,1502.7604175859553,1508.6656874954924,1513.3582545004274,1517.4381443850814,1521.829857917217,1525.7063604792602,1534.7884569499179,1541.8895408950896,1551.2126277878472,1556.7801676940433,1564.5494000792428,1568.6076455469442,1573.7714462790536,1578.385294152067,1583.4860745126664,1589.001824336387,1594.4803388603052,1602.182633721538,1607.0262682782102,1612.273821095159,1614.5953809397731,1619.4261126739088,1621.2533369471682,1628.8426027747337,1633.133635646781,1638.9913089138283,1643.9731843804952,1648.8400741029504,1653.178284837738,1657.652854749366,1663.4081766567167,1668.2834257363352,1673.7699859796096,1678.808091484836,1685.4842121384468,1689.1892760622623,1694.9290425556876,1699.215156506862,1704.0353273700418,1708.717631549219,1713.5765724346409,1717.2406395813903,1720.1569530092527,1723.8342704662512,1733.8280049923217,1735.2748238250704,1735.7429499940743,1739.8372104186326,1749.548730797299,1759.9568318626614,1771.2018639674131,1784.5708506241772,1800.4176612825124,1816.6552299189689,1833.5215255685628,1847.8321424007656,1864.1028125007738,1882.2118320659165,1906.63864889868,1930.0269182766656,1956.2092363973893,1982.2847721938226,2009.683123103442,2035.1595445781304,2053.4142430468983,2070.156385146421,2086.3326900697125,2106.6876333476303,2127.215801291283,2149.1049086082135,2169.516082568628,2187.3018249704955,2198.1551454692685,2207.6554242758343,2215.914846796886,2228.5806770602885,2241.335905993029,2254.7065309414947,2267.1293645217006,2276.376949516236,2283.1464277637156,2287.9989870513355,2289.503752849375,2291.777533644113,2295.3376181111566,2298.521798831243,2300.283377944808,2297.5423233328943
394692,5,"Houston, TX",msa,TX,1521.6171963511783,1528.8476192132018,1535.096157781785,1539.5082328679161,1538.509588748516,1540.3938879689354,1542.0803391020802,1545.5232968217688,1546.2291230744825,1549.8133202736105,1555.2223088182716,1558.5318297107385,1559.2686786893332,1554.9604609492358,1552.3459699846494,1548.3905319745008,1546.5712865069406,1544.6914941936955,1544.4181360247203,1542.9309036134775,1539.2922748206279,1533.0044427112787,1524.9217564068936,1521.8483201305087,1529.2035686345578,1541.5754017912054,1554.1006210719113,1557.3781128902658,1560.4315632151238,1560.785183315344,1563.860012409691,1566.9957085119206,1578.6711099341128,1590.888927931943,1603.0772730805456,1607.4470046172037,1609.4207175559359,1609.0941754095775,1608.6133811525729,1608.3670633024492,1610.156500811247,1614.771257227628,1617.592667206159,1621.963784628767,1622.6936927716883,1623.9978663457384,1624.8343930710878,1628.8677114198438,1630.5681120761747,1633.6832277859723,1635.7253785607563,1642.5380670635639,1647.6536892907677,1651.8554123563001,1655.7856689823363,1658.7665777544437,1660.93401011733,1663.00963115339,1665.9799539177357,1669.5104712146215,1674.0873607660847,1677.8964916081675,1681.6528679263026,1679.6446732884735,1679.4329308585015,1678.9031910572076,1689.586709984142,1699.8828142993846,1712.5329327177749,1720.2636786408357,1732.1643827622927,1744.2554097160669,1758.4810397438048,1766.5321945114897,1778.4766918670334,1791.927514129656,1809.8649294063,1825.167622039929,1834.7655933971612,1848.9597180897326,1863.5301309835431,1884.3000548608188,1901.8195406299494,1916.228384255106,1929.6743618420933,1942.1436450006354,1950.317513822107,1961.953704385462,1971.3787258406694,1987.8707880330285,1997.112011025082,2006.5930821070854,2010.6827620545553,2021.1939781185768,2025.434129956275,2032.09744116171,2037.6484828678217,2047.0562565701416,2057.161949159077,2064.610160199557,2070.4712787969443,2071.648113744686,2078.331831061121,2081.8692978117297,2088.146716188992,2086.655646534769
395209,6,"Washington, DC",msa,VA,2118.5567718229304,2127.735508904832,2138.34348515708,2140.089876360103,2138.7531824882253,2139.3439230644713,2140.4102021112853,2142.7293220805327,2148.9215346890933,2155.9042549679,2164.3033966320004,2168.5029451610267,2171.2549967951218,2172.5499421244263,2171.9420969713133,2172.4182428963977,2177.1408642273095,2181.549592333406,2188.2557847478693,2193.7367229790198,2194.3797854038953,2194.897996095691,2194.2371933869294,2196.2662186923317,2201.810420238885,2210.444576677445,2222.509704268618,2228.14611873078,2230.830962386382,2232.7204360616033,2236.2542558836276,2237.7535146325276,2244.1557787925863,2248.1303860701605,2253.157761042539,2261.2621484598476,2266.223194271054,2269.2238042672266,2270.7181156350684,2276.4819325682497,2282.483452479389,2286.8682348934326,2290.8015376408066,2296.623706084308,2299.047744291084,2304.520331084746,2313.418794100799,2324.658800761161,2325.78030914094,2329.6779545650556,2334.6202464064963,2339.5827638603664,2345.107493943034,2352.332126798208,2358.6295151815375,2364.660342283141,2371.811878376343,2377.8017678363585,2380.8526054040726,2380.1993942549357,2388.316398181147,2394.7727555364504,2408.2513556815443,2406.695637009693,2408.575408935344,2411.3450124732126,2417.9771679068413,2426.9741697147547,2437.7480777464575,2444.8567891653047,2453.212941819256,2459.8274802883407,2473.9953880672724,2480.117109605591,2490.4280079331197,2501.938722788741,2521.9742561742632,2541.811567364051,2558.692118036803,2577.993165343476,2594.7928532515884,2617.736608055375,2628.742912100828,2642.5362313284077,2654.549008257008,2678.910672957596,2703.1554844185994,2726.86825090285,2739.588812931059,2748.905287138279,2757.173360852033,2766.1075590282603,2781.2484931126637,2792.318637996837,2810.4054797605954,2828.410805757325,2841.709239846732,2850.3465561319103,2856.593214825215,2865.07689969414,2877.1221242440906,2891.785534690473,2908.0253118684905,2921.9448966610394,2931.6888835703335,2942.141616946205
394974,7,"Philadelphia, PA",msa,PA,1359.1093526911764,1363.8001111554072,1368.7034528483848,1372.3369111279328,1375.4314799778415,1375.8395868954212,1379.0890096715923,1381.5319969566963,1387.778084807813,1394.294775841494,1393.4170055712393,1393.965495016973,1392.4865496537313,1399.9831551774264,1402.9900302759922,1408.76063786841,1411.1028601556295,1417.6178878901271,1422.030807877147,1425.1148721805102,1423.565078648441,1421.1402041747729,1428.453937723227,1431.8972702850417,1441.3940826917699,1442.4573516612695,1450.749504646504,1452.7009914021648,1454.955389450813,1454.746909524451,1458.8966610443706,1465.5405249899998,1473.3119739804797,1478.2546230554824,1481.7691883090044,1487.356332138614,1488.8850704341332,1492.4309443070254,1496.1206536549867,1502.8197136029464,1509.5403493432384,1512.601859663351,1514.9555269314108,1516.9294496500977,1522.7947382294906,1529.7818771534278,1535.4444682612125,1538.0626616103364,1543.0707205802187,1548.4197550664828,1551.6276754894302,1555.2536116784402,1559.6005159776296,1567.3762008564238,1574.013711175087,1580.139873424671,1583.6655451464737,1588.0363566924696,1592.5065026917318,1599.2589774520545,1605.1840808494517,1611.5574703535094,1613.285373092977,1613.361723578435,1614.3681744579474,1619.4845885621874,1631.65957350523,1640.8713242202036,1652.2662205034871,1659.0938319817603,1671.007271739972,1681.3783991780247,1694.273845248209,1703.896453529483,1711.5739940881201,1724.5222922132475,1740.5241564297291,1754.5151886000504,1765.0371244913094,1779.4257213504325,1792.2672886663818,1806.8857712749198,1820.286300240909,1838.4713522907111,1852.5534429391346,1863.1209333735521,1874.9986900163565,1886.4729486480614,1902.0770510793402,1915.8919591655342,1931.3155073745345,1944.6410329267278,1952.352037503201,1953.141951969974,1961.647562036318,1966.6341071952838,1974.38894840348,1986.089673695684,1998.3825072561451,2009.1064780206204,2014.6011823647439,2021.5129634407529,2027.3927106878514,2033.5092504906515,2044.4258438130892,2060.774215986754
394856,8,"Miami, FL",msa,FL,1763.1304810824493,1773.5872224827308,1784.8294873949874,1795.4106654924308,1802.6457231010718,1810.6128483003863,1820.1232728334926,1827.2771754152552,1837.7529794962265,1845.0975435332648,1857.0682529416977,1864.6029139949821,1876.2756202920855,1879.923669571175,1884.3060304299092,1887.2663868054885,1894.5030833584788,1897.6842989346728,1898.3134211961178,1902.1772092469487,1906.5234643788651,1911.1605624818785,1917.191399928265,1921.8921551326712,1928.2922703071595,1934.7309388551832,1942.6607311568048,1947.740971938039,1951.9361594925151,1960.2871322436586,1969.4550400505536,1977.027783027318,1980.616012206294,1986.4634586668153,1990.2715182255433,1998.214707388593,2005.7284315386737,2013.1202532164796,2018.0017399983958,2026.7614170936379,2033.9369565068828,2039.1322364826635,2045.0783021036345,2052.4347357057263,2060.182678007428,2065.0456632854653,2069.710634555938,2075.0431826908207,2082.1939934481265,2089.197184124237,2096.320561192318,2102.4056477364784,2109.498120936477,2117.015869569552,2124.1591446144894,2130.534958468498,2138.546743649649,2147.8442098968385,2158.085417103977,2166.3477022477946,2173.165728037895,2180.646648201115,2190.1288067457135,2195.1455300234757,2191.4882660378885,2202.011767712128,2218.3920463372588,2236.4832719482224,2255.37762641081,,2321.2718797664556,2349.4250848092274,2361.736266646901,2386.359270893661,2407.1257485280867,2441.3318319275368,2489.6872453489596,2544.654059534712,2604.5091583080903,2659.8776679237785,2731.2423910204593,2779.3505136040885,2837.100687872776,2895.795464881973,2980.6225212648656,3039.7477740077516,3098.1898279509323,3145.9726552306174,3204.3954486401,3238.6755637153265,3269.588620292904,3288.7335038588267,3289.851231522284,3297.8474064251413,3308.302806388268,3321.95034107043,3323.93037777084,3337.850011426473,3355.0994926092094,3372.48171191768,3373.203357829957,3383.7376214843166,3390.8531204613805,3407.986035661465,3428.0095494243747,3451.306719158934
394347,9,"Atlanta, GA",msa,GA,1109.119396735667,1114.2327699615175,1116.8618127318853,1123.9016062647572,1127.435717832499,1134.8207735918647,1139.8470104862377,1145.7567187691932,1150.792875153477,1155.1624981778682,1158.4294377114322,1163.1688769965026,1170.4973636163352,1178.4302991657946,1184.7827974740092,1189.1220253753243,1193.7235146886537,1198.767299814222,1204.0590422716264,1211.2442619883034,1216.7104935759626,1222.5706737240812,1226.0767837601898,1231.1923747416263,1235.9500570674215,1243.2520653181662,1251.065993283303,1258.6568542373652,1265.9365190634046,1272.0778582037346,1281.3340256616607,1287.497516585241,1294.590057771922,1298.0102563150344,1306.389769032816,1311.6758412786858,1319.3727001152295,1323.296401252507,1330.6762254430512,1336.9179580545565,1344.6593440979311,1349.7242131793641,1355.1949626734772,1360.5235881914205,1367.4510836736767,1377.3815018211492,1386.1044499293753,1394.797874073129,1401.5044900278542,1407.7977714793622,1413.3585724081893,1420.3134841778704,1426.411178791706,1435.1084595530479,1441.9639075834257,1450.153524555514,1457.034858287935,1463.4053630841333,1468.7301466355182,1475.3466570555258,1482.300579741306,1491.0258698045045,1499.3852898276907,1507.3456836460414,1515.6764532546817,1524.0608538771487,1537.2760545861715,1551.9720302051812,1570.0785382995064,1586.061745141224,1603.9246336483473,1620.747604621785,1641.5924477194046,1664.7760099610625,1687.9849333053069,1715.122737342078,1738.3903262712859,1766.7712009007244,1788.2605150275858,1817.4802964589985,1840.9366159503302,1868.8752153822506,1889.537622285831,1903.3927766984343,1917.525827841391,1929.8537474940094,1949.0862403506017,1960.2868652102136,1976.4547881055619,1994.7128154731388,2017.720022206497,2030.9660627442015,2040.016619565727,2048.3874257903203,2060.4868822135923,2077.548039243659,2090.597899397313,2101.9256365285873,2106.561164172242,2113.9471544295807,2117.8385714511774,2115.4121204225657,2110.234679034865,2106.407703191894,2106.2089548778617,2102.557503191147
